PreyClass,PreyOrder,PreyFamily,PreySP,habitat_combi,vert_habitat,horz_habitat,diel_migrant,refuge,phys_defense,TrophicLevel,body_shape,max_fo
Cephalopoda,Oegopsida,Ommastrephidae,Sthenoteuthis oualaniensis,mesopelagic,mesopelagic,oceanic,1,0,0,4.56,fusiform ,9.1
Cephalopoda,Oegopsida,Ommastrephidae,Todarodes pacificus,oceanic epipelagic,epipelagic,oceanic,1,0,0,4.28,fusiform ,1.5
Cephalopoda,Oegopsida,Ommastrephidae,Todarodes sagittatus,benthopelagic,benthopelagic,continental shelf,1,0,0,4.19,fusiform ,73.7
Cephalopoda,Oegopsida,Ommastrephidae,Todaropsis eblanae,benthopelagic,benthopelagic,continental shelf,1,0,0,4.25,fusiform ,0
Cephalopoda,Oegopsida,Onychoteuthidae,Ancistroteuthis lichtensteini,mesopelagic,mesopelagic,continental shelf,1,0,0,NA,fusiform ,33
Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis banksii,oceanic epipelagic,epipelagic,oceanic,1,0,0,3.79,fusiform ,83.33
Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis borealijaponica,oceanic epipelagic,epipelagic,oceanic,1,1,0,4.5,fusiform ,58.5
Cephalopoda,Oegopsida,Onychoteuthidae,Onykia robusta,benthopelagic,benthopelagic,continental shelf,1,0,0,4.13,fusiform ,6
Cephalopoda,Oegopsida,Pyroteuthidae,Pterygioteuthis giardi,mesopelagic,mesopelagic,oceanic,1,0,0,3.36,fusiform ,1.63
Cephalopoda,Oegopsida,Pyroteuthidae,Pterygioteuthis microlampas,mesopelagic,mesopelagic,oceanic,1,1,0,NA,fusiform ,0.33
Cephalopoda,Oegopsida,Pyroteuthidae,Pyroteuthis margaritifera,mesopelagic,mesopelagic,oceanic,1,0,0,3.1,fusiform ,1.63
Cephalopoda,Sepiida,Sepiolidae,Heteroteuthis dispar,mesopelagic,mesopelagic,continental slope,1,0,0,3.6,globiform,66
Cephalopoda,Sepiida,Sepiolidae,Sepietta oweniana,benthopelagic,benthopelagic,continental shelf,1,1,0,3.45,fusiform ,2.86
