"","prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant","refuge","season_migrant","body_shape","phys_defense","transparent","col_disrupt","countershade","photophore_PA","gregarious_primary","trophic_level","b_shape_r","eye_body_r"
"71","Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","adult","epipelagic","oceanic",1,1,NA,"fusiform",1,1,0,0,0,"shoaling",3.71,3.54896159476423,0.0656971369433667
"72","Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon niger","adult","bathypelagic","oceanic",1,0,NA,"elongated",1,0,0,0,0,"solitary",4.2,7.10089705682314,0.0393137161462354
"73","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","adult","epipelagic","oceanic",0,0,1,"elongated",0,0,1,1,0,"schooling",4.37,5.51635496998878,0.0235667971020648
"74","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","adult","demersal","coastal",0,1,1,"compressiform",1,0,1,0,0,"shoaling",2.99,3.1503431685667,0.0739855639090602
"75","Actinopterygii","Perciformes","Gempylidae","Diplospinus multistriatus","adult","mesopelagic","continental shelf",1,0,0,"elongated",1,0,0,0,0,"solitary",3.51,15.8237749515274,0.0353998750341759
"76","Actinopterygii","Perciformes","Gempylidae","Gempylus serpens","adult","mesopelagic","oceanic",1,0,NA,"elongated",1,0,0,1,0,"solitary",4.35,16.096758173603,0.0279243884399916
"77","Actinopterygii","Perciformes","Gempylidae","Nealotus tripes","adult","mesopelagic","oceanic",1,0,NA,"elongated",1,0,0,0,0,"solitary",4.2,8.06911300205598,0.0470649853807232
"78","Actinopterygii","Perciformes","Gempylidae","Nesiarchus nasutus","adult","mesopelagic","continental shelf",1,0,NA,"elongated",1,0,0,0,0,NA,4.33,10.4610468016228,0.0300330742436332
"79","Actinopterygii","Perciformes","Gobiidae","Rhinogobiops nicholsii","adult","benthic","continental shelf",0,1,1,"elongated",1,0,1,0,0,"shoaling",3.369999886,5.63686205836922,0.0488123461669955
"80","Actinopterygii","Perciformes","Kyphosidae","Medialuna californiensis","adult","demersal","reef-associated",0,1,1,"fusiform",1,0,1,1,0,"schooling",2.67,3.08839014026356,0.0498436642015934
"81","Actinopterygii","Perciformes","Labridae","Halichoeres nicholsi","adult","demersal","reef-associated",0,1,0,"fusiform",1,0,1,0,0,"solitary",4,3.33595883377439,0.0275370152009165
"82","Actinopterygii","Perciformes","Mugilidae","Mugil cephalus","adult","epipelagic","coastal",1,0,1,"fusiform",1,0,0,1,0,"schooling",2.48,5.09611456871635,0.0391410213820271
"83","Actinopterygii","Perciformes","Mullidae","Mullus barbatus barbatus","adult","demersal","continental shelf",0,1,1,"fusiform",1,0,1,1,0,"shoaling",3.14,4.60048406271458,0.0515851966242557
"84","Actinopterygii","Perciformes","Nomeidae","Cubiceps gracilis","adult","epipelagic","oceanic",NA,1,1,"fusiform",0,0,0,0,0,"shoaling",3.4,4.70486891748184,0.064820854814245
"85","Actinopterygii","Perciformes","Nomeidae","Psenes pellucidus","adult","epipelagic","oceanic",NA,1,NA,"compressiform",1,1,0,0,0,"shoaling",3.85,3.04465989591971,0.0760521483428216
"86","Actinopterygii","Perciformes","Pomacentridae","Chromis punctipinnis","adult","demersal","reef-associated",1,1,0,"fusiform",1,0,1,0,0,"schooling",2.73,3.12504655788991,0.0580003218007776
"87","Actinopterygii","Perciformes","Scombridae","Katsuwonus pelamis","adult","epipelagic","oceanic",1,0,1,"fusiform",1,0,1,1,0,"schooling",4.43,3.44994762126013,0.0406443676925152
"88","Actinopterygii","Perciformes","Scombridae","Scomber japonicus","adult","epipelagic","continental shelf",1,0,1,"fusiform",1,0,1,1,0,"schooling",3.38,5.27640220348731,0.0549093095841902
"89","Actinopterygii","Perciformes","Scombridae","Scomber scombrus","adult","epipelagic","continental shelf",1,0,1,"fusiform",1,0,1,1,0,"schooling",3.63,5.59875407891976,0.0405678588414715
"90","Actinopterygii","Perciformes","Sparidae","Boops boops","adult","demersal","continental shelf",1,0,1,"fusiform",1,0,1,1,0,"schooling",2.79,4.60492093625265,0.0729206706343984
"91","Actinopterygii","Perciformes","Sparidae","Diplodus sargus","adult","demersal","reef-associated",0,1,1,"fusiform",1,0,1,0,0,"schooling",3.38,2.63509861483204,0.0749153993574693
"92","Actinopterygii","Perciformes","Sparidae","Spondyliosoma cantharus","adult","demersal","coastal",0,1,1,"fusiform",1,0,1,0,0,"schooling",3.34,2.88852115283044,0.066314842902408
"93","Actinopterygii","Perciformes","Stomateidae","Peprilus simillimus","adult","demersal","coastal",NA,1,NA,"compressiform",1,0,0,1,0,"schooling",4,2.67638457483476,0.0398956312331938
"94","Actinopterygii","Perciformes","Tetragonuridae","Tetragonurus atlanticus","adult","mesopelagic","oceanic",1,0,1,"elongated",1,0,0,0,0,"shoaling",3.64,7.24046845217968,0.0483880250161362
